deck,model_id,corner,ccell_ff,vbl_pre_fraction,dv_5ns,dv_8ns,dv_10ns,dv_12ns,dv_15ns
3D_gaa_AOS_tt_read_10ff_vbl40.sp,3D_gaa_AOS,tt,10.0,0.4,,,,,
3D_gaa_AOS_tt_read_10ff_vbl45.sp,3D_gaa_AOS,tt,10.0,0.45,,,,,
3D_gaa_AOS_tt_read_10ff_vbl50.sp,3D_gaa_AOS,tt,10.0,0.5,,,,,
3D_gaa_AOS_tt_read_15ff_vbl40.sp,3D_gaa_AOS,tt,15.0,0.4,,,,,
3D_gaa_AOS_tt_read_15ff_vbl45.sp,3D_gaa_AOS,tt,15.0,0.45,,,,,
3D_gaa_AOS_tt_read_15ff_vbl50.sp,3D_gaa_AOS,tt,15.0,0.5,,,,,
3D_gaa_AOS_tt_read_20ff_vbl40.sp,3D_gaa_AOS,tt,20.0,0.4,,,,,
3D_gaa_AOS_tt_read_20ff_vbl45.sp,3D_gaa_AOS,tt,20.0,0.45,,,,,
3D_gaa_AOS_tt_read_20ff_vbl50.sp,3D_gaa_AOS,tt,20.0,0.5,,,,,
3D_gaa_AOS_tt_read_30ff_vbl40.sp,3D_gaa_AOS,tt,30.0,0.4,,,,,
3D_gaa_AOS_tt_read_30ff_vbl45.sp,3D_gaa_AOS,tt,30.0,0.45,,,,,
3D_gaa_AOS_tt_read_30ff_vbl50.sp,3D_gaa_AOS,tt,30.0,0.5,,,,,
3D_gaa_Si_tt_read_10ff_vbl40.sp,3D_gaa_Si,tt,10.0,0.4,,,,,
3D_gaa_Si_tt_read_10ff_vbl45.sp,3D_gaa_Si,tt,10.0,0.45,,,,,
3D_gaa_Si_tt_read_10ff_vbl50.sp,3D_gaa_Si,tt,10.0,0.5,,,,,
3D_gaa_Si_tt_read_15ff_vbl40.sp,3D_gaa_Si,tt,15.0,0.4,,,,,
3D_gaa_Si_tt_read_15ff_vbl45.sp,3D_gaa_Si,tt,15.0,0.45,,,,,
3D_gaa_Si_tt_read_15ff_vbl50.sp,3D_gaa_Si,tt,15.0,0.5,,,,,
3D_gaa_Si_tt_read_20ff_vbl40.sp,3D_gaa_Si,tt,20.0,0.4,,,,,
3D_gaa_Si_tt_read_20ff_vbl45.sp,3D_gaa_Si,tt,20.0,0.45,,,,,
3D_gaa_Si_tt_read_20ff_vbl50.sp,3D_gaa_Si,tt,20.0,0.5,,,,,
3D_gaa_Si_tt_read_30ff_vbl40.sp,3D_gaa_Si,tt,30.0,0.4,,,,,
3D_gaa_Si_tt_read_30ff_vbl45.sp,3D_gaa_Si,tt,30.0,0.45,,,,,
3D_gaa_Si_tt_read_30ff_vbl50.sp,3D_gaa_Si,tt,30.0,0.5,,,,,
BCAT_125_tt_read_10ff_vbl40.sp,BCAT_125,tt,10.0,0.4,,,,,
BCAT_125_tt_read_10ff_vbl45.sp,BCAT_125,tt,10.0,0.45,,,,,
BCAT_125_tt_read_10ff_vbl50.sp,BCAT_125,tt,10.0,0.5,,,,,
BCAT_125_tt_read_15ff_vbl40.sp,BCAT_125,tt,15.0,0.4,,,,,
BCAT_125_tt_read_15ff_vbl45.sp,BCAT_125,tt,15.0,0.45,,,,,
BCAT_125_tt_read_15ff_vbl50.sp,BCAT_125,tt,15.0,0.5,,,,,
BCAT_125_tt_read_20ff_vbl40.sp,BCAT_125,tt,20.0,0.4,,,,,
BCAT_125_tt_read_20ff_vbl45.sp,BCAT_125,tt,20.0,0.45,,,,,
BCAT_125_tt_read_20ff_vbl50.sp,BCAT_125,tt,20.0,0.5,,,,,
BCAT_125_tt_read_30ff_vbl40.sp,BCAT_125,tt,30.0,0.4,,,,,
