model_id,corner,ccell_ff,t_write_s_ngspice,t_read_s_ngspice,i_hold_a_ngspice,q_read_c_ngspice,t_write_s_spectre,t_read_s_spectre,i_hold_a_spectre,q_read_c_spectre
3D_gaa_AOS,hot,10.0,1.9021e-09,2.29944e-08,4.01736e-10,2.81112e-19,,,,
3D_gaa_AOS,hot,20.0,1.90105e-09,2.2606250000000047e-08,4.01789e-10,1.41697e-19,,,,
3D_gaa_AOS,hot,30.0,1.9007e-09,2.2432486631016105e-08,4.01807e-10,9.47937e-20,,,,
3D_gaa_Si,hot,10.0,1.90075e-09,2.29084e-08,2.83305e-11,1.0856e-19,,,,
3D_gaa_Si,hot,20.0,1.90037e-09,2.29162e-08,2.8332e-11,6.181619999999999e-20,,,,
3D_gaa_Si,hot,30.0,1.90025e-09,2.29188e-08,2.83325e-11,4.61089e-20,,,,
BCAT_125,hot,10.0,1.90054e-09,2.28317e-08,7.67563e-12,1.84121e-19,,,,
BCAT_125,hot,20.0,1.90027e-09,2.28375e-08,7.67584e-12,1.55897e-19,,,,
BCAT_125,hot,30.0,1.90018e-09,2.28394e-08,7.67591e-12,1.46439e-19,,,,
VCT_082,hot,10.0,1.90072e-09,2.28502e-08,3.03271e-11,1.0104e-18,,,,
VCT_082,hot,20.0,1.90036e-09,2.28553e-08,3.03286e-11,9.7502e-19,,,,
VCT_082,hot,30.0,1.90024e-09,2.2857e-08,3.03291e-11,9.631710000000001e-19,,,,
VCT_091,hot,10.0,1.90072e-09,2.28533e-08,3.02903e-11,9.76346e-19,,,,
VCT_091,hot,20.0,1.90036e-09,2.28584e-08,3.02918e-11,9.40814e-19,,,,
VCT_091,hot,30.0,1.90024e-09,2.28601e-08,3.02922e-11,9.28913e-19,,,,
VCT_102,hot,10.0,1.90072e-09,2.28572e-08,3.02434e-11,9.33844e-19,,,,
VCT_102,hot,20.0,1.90036e-09,2.28623e-08,3.02448e-11,8.980600000000001e-19,,,,
VCT_102,hot,30.0,1.90024e-09,2.2864e-08,3.02453e-11,8.86074e-19,,,,
VCT_125,hot,10.0,1.90071e-09,2.28984e-08,2.87228e-11,1.9527400000000001e-19,,,,
VCT_125,hot,20.0,1.90036e-09,2.2904e-08,2.87238e-11,1.56382e-19,,,,
VCT_125,hot,30.0,1.90024e-09,2.29059e-08,2.87242e-11,1.43355e-19,,,,
